var0=pandas.read_csv	var0.head
var0=pandas.read_csv var0.head	var1=pandas.read_csv
var0=pandas.read_csv var0.head var1=pandas.read_csv	var1.head
var0.head var1=pandas.read_csv var1.head	var2=pandas.read_csv
var1=pandas.read_csv var1.head var2=pandas.read_csv	matplotlib.pyplot.figure
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var1.head
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var3.fit_on_texts
import_pandas import_math var0=pandas.read_csv	var1=pandas.read_csv
import_math var0=pandas.read_csv var1=pandas.read_csv	var0=var0.sample
import_sentencepiece	var5=sentencepiece.SentencePieceProcessor
var2=pandas.read_csv	var3=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv	var10=numpy.array
var16=numpy.array var43.append_1 var12=var12.set_index	var47.to_csv
var2=pandas.read_csv	var3=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv	var10=numpy.array
var16=numpy.array var43.append_1 var12=var12.set_index	var47.to_csv
var1=pandas.read_csv	var1.head
var3=var2.fit_transform var4=var3.tocsr var6=pandas.read_csv	var7=var2.transform
matplotlib.pyplot.grid matplotlib.pyplot.legend var29=pandas.read_csv	var29.head
matplotlib.pyplot.legend var29=pandas.read_csv var29.head	var29.to_csv
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var0.head
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var0.head
var0=pandas.read_csv	var0.head
var0=pandas.read_csv var0.head	var0.info
var28=var24.predict var29=var25.predict var30=pandas.read_csv	var31=var30.copy
var29=var25.predict var30=pandas.read_csv var31=var30.copy	var31.head
var30=pandas.read_csv var31=var30.copy var31.head	var36=var10.transform
var0=pandas.read_csv	var0.head
var0=pandas.read_csv var0.head	iloc
var16=var15.fit_transform var17.fit var18=pandas.read_csv	var18.head
var17.fit var18=pandas.read_csv var18.head	var19=var13.transform
var22.to_csv iloc var23=pandas.read_csv	iloc
var2=pandas.read_csv	iloc
var2=pandas.read_csv	var3=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv	var10=numpy.array
var2=pandas.read_csv	var3=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv	var10=numpy.array
var16=numpy.array var43.append_1 var12=var12.set_index	var47.to_csv
var0=pandas.read_csv	var0.head
var0=pandas.read_csv var0.head	var1=pandas.read_csv
var0=pandas.read_csv var0.head var1=pandas.read_csv	var1.head
var0.head var1=pandas.read_csv var1.head	var5.append_0
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var0.head
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var4=pandas.DataFrame
var37.head var37.to_csv var38=pandas.read_csv	var38.to_csv
var8=pandas.merge var9.append_0 var15=pandas.read_csv	var18.append_0
var6=pandas.read_csv	loc
var0=pandas.read_csv	var1=pandas.read_csv
var0=pandas.read_csv var1=pandas.read_csv	var3=pandas.Series
var2=pandas.read_csv	var3=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv	var4=pandas.read_csv
var2=pandas.read_csv var3=pandas.read_csv var4=pandas.read_csv	var9.fit
matplotlib.pyplot.suptitle matplotlib.pyplot.show var10=pandas.read_csv	var10.head
var10=pandas.read_csv var10.head var11=pandas.read_csv	var11.head
var11=pandas.read_csv var11.head var12=pandas.read_csv	var12.head
matplotlib.pyplot.suptitle matplotlib.pyplot.show var12=pandas.read_csv	var12.head
var12=pandas.read_csv var12.head var13=pandas.read_csv	var13.head
