import_os	import_time
import_os import_time	import_numpy
import_os import_time import_numpy	import_pandas
import_time import_numpy import_pandas	import_math
import_numpy import_pandas import_math	var0=pandas.read_csv
iloc iloc import_nltk	var6=var6.lower
iloc import_nltk var6=var6.lower	var10.fit
var11.append_4 var12.append_5 var16=pandas.DataFrame	var16=pandas.merge
var11.append_4 var12.append_5 var16=pandas.DataFrame	var16=pandas.merge
var0=pandas.read_csv var0.head import_seaborn	import_matplotlib.pyplot
var0.head import_seaborn import_matplotlib.pyplot	seaborn.countplot
import_matplotlib.pyplot seaborn.countplot import_cv2	import_pandas
seaborn.countplot import_cv2 import_pandas	import_numpy
import_cv2 import_pandas import_numpy	import_matplotlib.pyplot
import_pandas import_numpy import_matplotlib.pyplot	import_json
import_numpy import_matplotlib.pyplot import_json	import_os
import_matplotlib.pyplot import_json import_os	var3=numpy.asarray
var17=pandas.read_csv var17.head import_numpy	import_pandas
var17.head import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	import_seaborn
import_pandas import_matplotlib.pyplot import_seaborn	var18.fit
import_albumentations	import_pretrainedmodels
import_albumentations import_pretrainedmodels	import_adabound
import_albumentations import_pretrainedmodels import_adabound	var1=pandas.read_csv
import_os	import_cv2
import_os import_cv2	import_numpy
import_os import_cv2 import_numpy	import_pandas
import_cv2 import_numpy import_pandas	import_tensorflow
import_numpy import_pandas import_tensorflow	import_tensorflow.contrib.slim
import_pandas import_tensorflow import_tensorflow.contrib.slim	var0=pandas.read_csv
var2=pandas.read_csv var2.head var3.sort	var3.append_0
var2.head var3.sort var3.append_0	var4.sort
var3.sort var3.append_0 var4.sort	var4.append_0
var3.append_0 var4.sort var4.append_0	var5.append_0
var0.ls	var1=pandas.read_csv
import_albumentations	import_pretrainedmodels
import_albumentations import_pretrainedmodels	import_adabound
import_albumentations import_pretrainedmodels import_adabound	var1=pandas.read_csv
import_pandas	import_numpy
import_pandas import_numpy	var1.append_0
import_torch	var1=pandas.read_csv
var25.append_2 var32=var9.predict import_warnings	matplotlib.pyplot.imshow
var69=var58.predict var86.append_0 import_matplotlib.pyplot	var69=var58.predict
import_os	import_sys
import_os import_sys	import_random
import_os import_sys import_random	import_math
import_sys import_random import_math	import_numpy
import_random import_math import_numpy	import_cv2
import_math import_numpy import_cv2	import_matplotlib.pyplot
import_numpy import_cv2 import_matplotlib.pyplot	import_json
import_cv2 import_matplotlib.pyplot import_json	import_pandas
import_matplotlib.pyplot import_json import_pandas	import_glob
import_json import_pandas import_glob	import_mrcnn.model
import_pandas import_glob import_mrcnn.model	var5.display
var56=mrcnn.model.MaskRCNN var56.load_weights import_warnings	var56.train
var43.add_subplot var49.load import_tensorflow	var50=tensorflow.ConfigProto
var49.load import_tensorflow var50=tensorflow.ConfigProto	import_numpy
var69.append_0 var35.append_1 var76=var46.load_model	var43.savefig
import_gc	import_glob
import_gc import_glob	import_math
import_gc import_glob import_math	import_torch
import_glob import_math import_torch	import_cv2
import_math import_torch import_cv2	import_numpy
import_torch import_cv2 import_numpy	import_pandas
import_cv2 import_numpy import_pandas	import_tqdm
import_numpy import_pandas import_tqdm	import_torch.utils.model_zoo
import_pandas import_tqdm import_torch.utils.model_zoo	import_torch.nn
import_tqdm import_torch.utils.model_zoo import_torch.nn	import_torch.nn.functional
import_torch.utils.model_zoo import_torch.nn import_torch.nn.functional	var0=numpy.array
import_torch.nn import_torch.nn.functional var0=numpy.array	var0=var0.to
import_torch.nn.functional var0=numpy.array var0=var0.to	var0=var0.permute
var0=numpy.array var0=var0.to var0=var0.permute	var19.append_0
var26=numpy.reshape var27=numpy.reshape import_time	var0=var39.get
import_matplotlib.pyplot	import_seaborn
import_matplotlib.pyplot import_seaborn	import_cv2
import_matplotlib.pyplot import_seaborn import_cv2	var0=pandas.read_csv
import_cv2 var0=pandas.read_csv import_os	matplotlib.pyplot.figure
import_pandas	import_numpy
import_pandas import_numpy	import_os
import_pandas import_numpy import_os	import_matplotlib.pyplot
import_numpy import_os import_matplotlib.pyplot	import_keras.backend
import_os import_matplotlib.pyplot import_keras.backend	var6=pandas.read_csv
import_os	var0=pandas.read_csv
import_numpy var3=numpy.array import_matplotlib.pyplot	matplotlib.pyplot.imshow
var3=numpy.array import_matplotlib.pyplot matplotlib.pyplot.imshow	matplotlib.pyplot.imshow
import_torch	import_torchvision
import_torch import_torchvision	import_torchvision.transforms
import_torch import_torchvision import_torchvision.transforms	var6=var5.next
import_datetime	import_math
import_datetime import_math	import_matplotlib
import_datetime import_math import_matplotlib	import_matplotlib.pyplot
import_math import_matplotlib import_matplotlib.pyplot	import_numpy
import_matplotlib import_matplotlib.pyplot import_numpy	import_os
import_matplotlib.pyplot import_numpy import_os	import_pandas
import_numpy import_os import_pandas	import_re
import_os import_pandas import_re	import_random
import_pandas import_re import_random	import_sys
import_re import_random import_sys	import_time
import_random import_sys import_time	import_cv2
import_sys import_time import_cv2	import_mrcnn.model
import_time import_cv2 import_mrcnn.model	import_skimage
import_cv2 import_mrcnn.model import_skimage	import_tqdm
import_mrcnn.model import_skimage import_tqdm	var5.display
var2=var1.sample var3=var1.sample import_numpy	var8=numpy.empty
var2=var1.sample var3=var1.sample import_numpy	var7=numpy.array
import_tensorflow	var0=pandas.read_csv
import_cv2	import_numpy
import_cv2 import_numpy	import_pandas
import_cv2 import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	var1.reset_index
var0.info var0.head import_matplotlib.pyplot	import_seaborn
var0.head import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.imshow
import_matplotlib.pyplot import_seaborn matplotlib.pyplot.imshow	var10=numpy.zeros
var36=var33.flow var37=var34.flow import_numpy	import_pandas
var37=var34.flow import_numpy import_pandas	import_six
import_numpy import_pandas import_six	import_matplotlib.pyplot
import_pandas import_six import_matplotlib.pyplot	import_seaborn
import_six import_matplotlib.pyplot import_seaborn	seaborn.set_style
import_matplotlib.pyplot import_seaborn seaborn.set_style	var56.update
import_mrcnn.model	var2.display
import_mrcnn.model var2.display import_os	import_numpy
var2.display import_os import_numpy	import_pandas
import_os import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	import_gc
import_pandas import_matplotlib.pyplot import_gc	var21=mrcnn.model.MaskRCNN
import_numpy	import_pandas
import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	import_seaborn
import_pandas import_matplotlib.pyplot import_seaborn	var0=seaborn.color_palette
import_matplotlib.pyplot import_seaborn var0=seaborn.color_palette	var1=pandas.read_csv
var2.remove var2.remove import_matplotlib.pyplot	import_seaborn
var2.remove import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
var8.fit var9=var8.predict var10=pandas.DataFrame	var10.to_csv
var18=var15.predict var2.to_csv import_utils	import_skutils
import_pandas	import_numpy
import_pandas import_numpy	var0=pandas.read_csv
import_numpy	import_pandas
import_numpy import_pandas	import_subprocess
import_numpy import_pandas import_subprocess	import_time
import_pandas import_subprocess import_time	import_sklearn
import_subprocess import_time import_sklearn	var1=pandas.read_csv
import_numpy	import_pandas
import_xgboost	var2.fit
import_pandas	import_numpy
import_pandas import_numpy	import_xgboost
import_pandas import_numpy import_xgboost	import_matplotlib.pyplot
import_numpy import_xgboost import_matplotlib.pyplot	import_seaborn
import_xgboost import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
var2.remove var2.remove import_matplotlib.pyplot	import_seaborn
var2.remove import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
import_xgboost	import_pandas
import_xgboost import_pandas	import_time
import_xgboost import_pandas import_time	import_random
import_pandas import_time import_random	import_numpy
import_time import_random import_numpy	import_matplotlib.pyplot
import_random import_numpy import_matplotlib.pyplot	import_math
import_numpy import_matplotlib.pyplot import_math	var5.fit
var0=pandas.read_csv var1=pandas.read_csv import_matplotlib.pyplot	import_matplotlib.mlab
var1=pandas.read_csv import_matplotlib.pyplot import_matplotlib.mlab	import_seaborn
import_matplotlib.pyplot import_matplotlib.mlab import_seaborn	var5=matplotlib.mlab.normpdf
import_warnings	var0=pandas.read_csv
var8.append_0 var10.extend import_xgboost	var11=pandas.DataFrame
var1=pandas.read_csv var1.head import_matplotlib.pyplot	import_seaborn
var1.head import_matplotlib.pyplot import_seaborn	shape
matplotlib.pyplot.subplots seaborn.kdeplot seaborn.kdeplot	seaborn.countplot
import_xgboost	var2.fit
import_seaborn seaborn.lmplot import_statsmodels.api	var6=numpy.logp1
import_warnings	import_pandas
import_warnings import_pandas	import_numpy
import_warnings import_pandas import_numpy	var0=pandas.read_csv
var2.remove var2.remove import_matplotlib.pyplot	import_seaborn
var2.remove import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
import_warnings	var0=pandas.read_csv
var1=var0.groupby var2=var0.groupby var6=numpy.reshape	var6=var7.fit_transform
matplotlib.pyplot.legend matplotlib.pyplot.show var6=numpy.reshape	var6=var7.fit_transform
var0=var0.drop loc columns	var0.head
var7.append_4 var8.append_5 import_matplotlib.pyplot	import_seaborn
var8.append_5 import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
var8.plot matplotlib.pyplot.savefig var9=var0.head	var11=pandas.to_datetime
matplotlib.pyplot.savefig var9=var0.head var11=pandas.to_datetime	var9=var9.set_index
var9=var0.head var11=pandas.to_datetime var9=var9.set_index	var9=var0.head
import_matplotlib.pyplot	import_seaborn
import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
var0=pandas.read_csv var0.info import_builtins	loc
import_matplotlib.pyplot	var0=pandas.read_csv
var0.info var0.head import_datetime	var0.drop
var10.set_xlabel var10.set_ylabel import_pylab	import_matplotlib.pyplot
var10.set_ylabel import_pylab import_matplotlib.pyplot	matplotlib.pyplot.show
import_pylab import_matplotlib.pyplot matplotlib.pyplot.show	matplotlib.pyplot.show
import_os	import_numpy
import_os import_numpy	import_pandas
import_os import_numpy import_pandas	var0=pandas.read_csv
cat cat var4.to_feather	var4=pandas.read_feather
cat var4.to_feather var4=pandas.read_feather	var5.fit
import_feather	var4.append_0
cat cat var0.to_feather	import_feather
cat var0.to_feather import_feather	var5.append_0
cat cat var1.to_feather	var2.fit
import_os	var1=pandas.read_csv
var27=var27.astype var28.append_0 import_scipy	var33=numpy.round
import_numpy	import_pandas
import_numpy import_pandas	import_seaborn
import_numpy import_pandas import_seaborn	import_matplotlib.pyplot
import_pandas import_seaborn import_matplotlib.pyplot	import_os
import_seaborn import_matplotlib.pyplot import_os	var0=pandas.read_csv
iloc var2.head import_torch	var16.fit
var3=pandas.read_csv var4=pandas.concat import_seaborn	seaborn.pairplot
import_seaborn	var0=pandas.read_csv
var36=numpy.vstack var36=numpy.transpose import_xgboost	var37=xgboost.XGBClassifier
var36=numpy.transpose import_xgboost var37=xgboost.XGBClassifier	var37.fit
var6=pandas.read_csv var7=pandas.concat import_seaborn	seaborn.pairplot
var13=var13.drop var1=var1.drop var14=pandas.DataFrame	var15=pandas.DataFrame
var1=var1.drop var14=pandas.DataFrame var15=pandas.DataFrame	var14.head
import_xgboost	import_time
import_xgboost import_time	import_numpy
import_xgboost import_time import_numpy	import_pandas
import_time import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	var0=pandas.read_csv
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
var15.remove var15.remove var19=pandas.DataFrame	var25=lightgbm.LGBMClassifier
seaborn.set_style	pandas.set_option
seaborn.set_style pandas.set_option	var0=pandas.read_csv
var13=pandas.DataFrame var13.head import_tensorflow	var14.append_0
var4=pandas.concat var2=pandas.DataFrame import_seaborn	seaborn.pairplot
var3.replace var3.replace import_gc	var11=numpy.zeros
import_matplotlib.pyplot	import_pandas
import_matplotlib.pyplot import_pandas	var0=pandas.read_csv
import_pandas	import_numpy
import_pandas import_numpy	import_time
import_pandas import_numpy import_time	var1=pandas.read_csv
var1.sort	var2=numpy.uint8
import_numpy	import_pandas
import_numpy import_pandas	import_matplotlib.pyplot
import_numpy import_pandas import_matplotlib.pyplot	import_tensorflow
import_pandas import_matplotlib.pyplot import_tensorflow	import_multiprocessing
import_matplotlib.pyplot import_tensorflow import_multiprocessing	import_os
import_tensorflow import_multiprocessing import_os	import_cv2
import_multiprocessing import_os import_cv2	import_time
import_os import_cv2 import_time	var7.append_0
import_numpy	import_skimage.transform
import_numpy import_skimage.transform	import_matplotlib.pyplot
import_numpy import_skimage.transform import_matplotlib.pyplot	import_matplotlib
import_skimage.transform import_matplotlib.pyplot import_matplotlib	import_os
import_matplotlib.pyplot import_matplotlib import_os	import_matplotlib.pyplot
import_matplotlib import_os import_matplotlib.pyplot	import_numpy
import_os import_matplotlib.pyplot import_numpy	import_pandas
import_matplotlib.pyplot import_numpy import_pandas	var1=pandas.DataFrame
var1.sort	var2=numpy.uint8
import_tensorflow	import_glob
import_tensorflow import_glob	import_os
import_tensorflow import_glob import_os	import_cv2
import_glob import_os import_cv2	var4=tensorflow.convert_to_tensor
import_os	import_matplotlib.pylab
import_os import_matplotlib.pylab	import_numpy
import_cv2	var10=pandas.read_csv
import_os	import_matplotlib.pylab
import_os import_matplotlib.pylab	import_numpy
import_io	import_bson
import_io import_bson	import_matplotlib.pyplot
import_io import_bson import_matplotlib.pyplot	import_multiprocessing
import_bson import_matplotlib.pyplot import_multiprocessing	var1.rename
var4=numpy.zeros	var6=pandas.DataFrame
var4=numpy.zeros var6=pandas.DataFrame	var8=pandas.read_csv
var1.append_1 var2.append_2 import_io	import_bson
var2.append_2 import_io import_bson	import_matplotlib
import_io import_bson import_matplotlib	import_matplotlib.pyplot
import_bson import_matplotlib import_matplotlib.pyplot	import_multiprocessing
import_matplotlib import_matplotlib.pyplot import_multiprocessing	import_numpy
import_matplotlib.pyplot import_multiprocessing import_numpy	import_pandas
import_multiprocessing import_numpy import_pandas	var10.rename
var14=numpy.asarray var15=numpy.asarray var15=keras.utils.to_categorical	import_tensorflow
var1.append_1 var2.append_2 import_io	import_bson
var2.append_2 import_io import_bson	import_matplotlib
import_io import_bson import_matplotlib	import_matplotlib.pyplot
import_bson import_matplotlib import_matplotlib.pyplot	import_multiprocessing
import_matplotlib import_matplotlib.pyplot import_multiprocessing	import_numpy
import_matplotlib.pyplot import_multiprocessing import_numpy	import_pandas
import_multiprocessing import_numpy import_pandas	var10.rename
import_io	import_bson
